n_samples,trial,mode,region,rel_err,neg_frac,rel_los,rel_trv,rel_R,rel_z,rel_phi,rel_err_sm,rel_los_sm,rel_trv_sm
50,0,3D,sun4,0.0402650460600853,0.0,0.020989954471588135,0.030868645757436752,0.02311275526881218,0.021479744464159012,0.015421142801642418,0.031696952879428864,0.014818556606769562,0.025482360273599625
50,0,LOS,sun4,0.07665668427944183,0.02734375,0.026357602328062057,0.06769220530986786,0.027246467769145966,0.05204217880964279,0.03476171940565109,0.058227576315402985,0.02049921452999115,0.051384810358285904
50,0,LOS+Sun,sun4,0.06971978396177292,0.017578125,0.024989791214466095,0.06093804910778999,0.02823859453201294,0.049084294587373734,0.026012498885393143,0.05014510825276375,0.019019613042473793,0.043507762253284454
50,1,3D,sun4,0.048977695405483246,0.0390625,0.030764572322368622,0.03342820703983307,0.023991446942090988,0.029322106391191483,0.018917642533779144,0.04495365172624588,0.026153795421123505,0.032435785979032516
50,1,LOS,sun4,0.08089358359575272,0.0,0.02786564826965332,0.07157579809427261,0.03409430384635925,0.06081218644976616,0.02261895313858986,0.06221330538392067,0.02242649346590042,0.05470582842826843
50,1,LOS+Sun,sun4,0.07629646360874176,0.0,0.02711440622806549,0.06642181426286697,0.027053549885749817,0.05796663463115692,0.025280756875872612,0.05680960416793823,0.021502254530787468,0.04880998283624649
50,2,3D,sun4,0.04909750446677208,0.052734375,0.027255648747086525,0.03629235178232193,0.02739308401942253,0.02788727357983589,0.018120212480425835,0.036518484354019165,0.02060426026582718,0.026935337111353874
50,2,LOS,sun4,0.07666021585464478,0.009765625,0.026973646134138107,0.06735334545373917,0.027887072414159775,0.05877320468425751,0.02257683128118515,0.059447791427373886,0.021086007356643677,0.05208411067724228
50,2,LOS+Sun,sun4,0.08224941790103912,0.009765625,0.029261471703648567,0.07239750772714615,0.03345209360122681,0.06178442761301994,0.021337803453207016,0.06502553075551987,0.023291807621717453,0.0571456216275692
50,0,3D,sun15,0.7643738985061646,0.19921875,0.41422775387763977,0.5780175924301147,0.3980258107185364,0.38832390308380127,0.3675771951675415,1.314117193222046,0.7231217622756958,1.00374174118042
50,0,LOS,sun15,0.9047591686248779,0.22265625,0.3576655983924866,0.7611507177352905,0.36762750148773193,0.6371864080429077,0.3081269860267639,1.7338907718658447,0.6507953405380249,1.4836235046386719
50,0,LOS+Sun,sun15,0.7760967016220093,0.205078125,0.29109370708465576,0.6680099964141846,0.32799941301345825,0.5772507190704346,0.18759141862392426,1.4522345066070557,0.5309592485427856,1.2707045078277588
50,1,3D,sun15,0.8457854390144348,0.3125,0.5629146099090576,0.5557669997215271,0.5147361755371094,0.34497690200805664,0.39191603660583496,1.3233842849731445,0.9016032218933105,0.8523032665252686
50,1,LOS,sun15,0.6326929330825806,0.26953125,0.3038739562034607,0.5063685178756714,0.29330360889434814,0.40520626306533813,0.2388235628604889,0.9165130257606506,0.501010000705719,0.6994105577468872
50,1,LOS+Sun,sun15,0.6626619100570679,0.259765625,0.32428285479545593,0.525107204914093,0.30995941162109375,0.4167509078979492,0.26171761751174927,1.0026570558547974,0.5485044717788696,0.755883514881134
50,2,3D,sun15,0.8609749674797058,0.30078125,0.4495793879032135,0.6622560620307922,0.36288678646087646,0.46528199315071106,0.4830116331577301,1.390333890914917,0.7979550361633301,1.0254817008972168
50,2,LOS,sun15,0.6364148855209351,0.17578125,0.32932519912719727,0.49244171380996704,0.33623796701431274,0.3659919500350952,0.2581445574760437,1.032557725906372,0.541925311088562,0.8069071769714355
50,2,LOS+Sun,sun15,0.5970475077629089,0.130859375,0.3295641839504242,0.44447392225265503,0.34868210554122925,0.32209983468055725,0.2379814088344574,0.9297667741775513,0.5291156768798828,0.7008696794509888
50,0,3D,gc15,0.8036354184150696,0.21875,0.4215632677078247,0.6165791749954224,0.4214174449443817,0.4192449152469635,0.37827539443969727,1.5830676555633545,0.7871768474578857,1.269396424293518
50,0,LOS,gc15,0.9753830432891846,0.27734375,0.3945372998714447,0.8204272389411926,0.38888245820999146,0.6792340278625488,0.35992398858070374,2.296003818511963,0.9317342638969421,1.9525856971740723
50,0,LOS+Sun,gc15,0.8318023681640625,0.25,0.31455090641975403,0.7170671224594116,0.354270875453949,0.6204218864440918,0.18895572423934937,1.8959312438964844,0.7246683239936829,1.6584357023239136
50,1,3D,gc15,0.8532971739768982,0.283203125,0.5609638094902039,0.5679869651794434,0.5342105627059937,0.36609750986099243,0.36710917949676514,1.4044796228408813,0.9173025488853455,0.9292828440666199
50,1,LOS,gc15,0.6360010504722595,0.279296875,0.3015274405479431,0.511953592300415,0.3035915493965149,0.4075571298599243,0.23447290062904358,1.0129826068878174,0.5197048187255859,0.79814612865448
50,1,LOS+Sun,gc15,0.6783839464187622,0.26953125,0.3265690803527832,0.5409592390060425,0.32223787903785706,0.42690932750701904,0.2648460268974304,1.1742256879806519,0.5987804532051086,0.9160274863243103
50,2,3D,gc15,0.9133514761924744,0.349609375,0.4665416181087494,0.7079412341117859,0.3919235169887543,0.49329060316085815,0.5082233548164368,1.7253323793411255,0.8859363198280334,1.3361631631851196
50,2,LOS,gc15,0.6607068777084351,0.15625,0.3292100429534912,0.5201296210289001,0.33874186873435974,0.392842173576355,0.26128318905830383,1.176896095275879,0.585111677646637,0.9392203092575073
50,2,LOS+Sun,gc15,0.6192007660865784,0.1328125,0.3299740254878998,0.4686225354671478,0.35225003957748413,0.34809738397598267,0.23559671640396118,1.051186442375183,0.5590754151344299,0.8134368658065796
50,0,LOS+rho,sun4,0.06872519105672836,0.0078125,0.023620977997779846,0.0608384869992733,0.023429449647665024,0.04730740562081337,0.031206384301185608,0.05096229165792465,0.017529167234897614,0.04528307169675827
50,0,LOS+Sun+rho,sun4,0.0795338824391365,0.0,0.027037514373660088,0.07085329294204712,0.02992958575487137,0.05822380632162094,0.027371570467948914,0.06166152283549309,0.021324733272194862,0.05494590476155281
50,1,LOS+rho,sun4,0.08656000345945358,0.0,0.028749912977218628,0.07694193720817566,0.027989231050014496,0.06772194802761078,0.028053566813468933,0.07027813792228699,0.02348507195711136,0.06253570318222046
50,1,LOS+Sun+rho,sun4,0.07014653086662292,0.0,0.025812307372689247,0.06111019104719162,0.023996014147996902,0.052800796926021576,0.024271352216601372,0.05115533247590065,0.01941242627799511,0.0442996583878994
50,2,LOS+rho,sun4,0.07367761433124542,0.00390625,0.0281316339969635,0.06388019770383835,0.025506455451250076,0.055546414107084274,0.02548852562904358,0.05715525150299072,0.021912090480327606,0.04933079704642296
50,2,LOS+Sun+rho,sun4,0.07769790291786194,0.005859375,0.026883801445364952,0.0678410455584526,0.031666435301303864,0.057207219302654266,0.022550128400325775,0.05878574401140213,0.020905233919620514,0.05111752450466156
