n_samples,trial,setting,sigma_mmsyr,arm,mode,region,rel_err,rel_los,rel_trv,rel_R,rel_z,rel_phi,rel_err_sm,rel_los_sm,rel_trv_sm,train_chi,train_err_true_mmsyr,train_err_smooth_mmsyr
50,0,s0,0.00,plain,LOS,sun4,0.07665668427944183,0.026357602328062057,0.06769220530986786,0.027246467769145966,0.05204217880964279,0.03476171940565109,0.058227576315402985,0.02049921452999115,0.051384810358285904,nan,0.084,0.091
50,0,s0,0.00,plain,LOS,sun15,0.9047591686248779,0.3576655983924866,0.7611507177352905,0.36762750148773193,0.6371864080429077,0.3081269860267639,1.7338907718658447,0.6507953405380249,1.4836235046386719,nan,0.084,0.091
50,0,s0,0.00,plain,LOS,gc15,0.9753830432891846,0.3945372998714447,0.8204272389411926,0.38888245820999146,0.6792340278625488,0.35992398858070374,2.296003818511963,0.9317342638969421,1.9525856971740723,nan,0.084,0.091
50,0,s0,0.00,plain,LOS+Sun+rho,sun4,0.07953371852636337,0.027037423104047775,0.07085318118333817,0.029929514974355698,0.05822372063994408,0.027371542528271675,0.06166134402155876,0.021324630826711655,0.05494576692581177,nan,0.144,0.147
50,0,s0,0.00,plain,LOS+Sun+rho,sun15,0.6051332950592041,0.23991985619068146,0.5151735544204712,0.24124668538570404,0.43382060527801514,0.19894500076770782,1.1344342231750488,0.4756190776824951,0.9522435665130615,nan,0.144,0.147
50,0,s0,0.00,plain,LOS+Sun+rho,gc15,0.640982985496521,0.2501862347126007,0.5495054721832275,0.26017051935195923,0.4638299345970154,0.19750764966011047,1.4167392253875732,0.5925413370132446,1.2057223320007324,nan,0.144,0.147
50,0,s0,0.00,plain,3D,sun4,0.0402650460600853,0.020989954471588135,0.030868645757436752,0.02311275526881218,0.021479744464159012,0.015421142801642418,0.031696952879428864,0.014818556606769562,0.025482360273599625,nan,0.103,0.091
50,0,s0,0.00,plain,3D,sun15,0.7643738985061646,0.41422775387763977,0.5780175924301147,0.3980258107185364,0.38832390308380127,0.3675771951675415,1.314117193222046,0.7231217622756958,1.00374174118042,nan,0.103,0.091
50,0,s0,0.00,plain,3D,gc15,0.8036354184150696,0.4215632677078247,0.6165791749954224,0.4214174449443817,0.4192449152469635,0.37827539443969727,1.5830676555633545,0.7871768474578857,1.269396424293518,nan,0.103,0.091
50,0,s0.5,0.50,plain,LOS,sun4,0.12695443630218506,0.05474184453487396,0.10676129162311554,0.05463022738695145,0.08091111481189728,0.05593561753630638,0.12077747285366058,0.052286386489868164,0.10150174051523209,0.544,0.354,0.345
50,0,s0.5,0.50,plain,LOS,sun15,1.3776780366897583,0.5500211715698242,1.1544253826141357,0.5274112820625305,1.0447533130645752,0.40293845534324646,2.3706226348876953,0.8728426694869995,2.0427873134613037,0.544,0.354,0.345
50,0,s0.5,0.50,plain,LOS,gc15,1.447131872177124,0.5719178318977356,1.225809097290039,0.5591963529586792,1.1061897277832031,0.4069209396839142,2.9687671661376953,1.1216983795166016,2.584085464477539,0.544,0.354,0.345
