n_samples,trial,mode,region,rel_err,neg_frac,rel_los,rel_trv,rel_R,rel_z,rel_phi
50,0,3D,sun4,0.040517836809158325,0.05859375,0.016331661492586136,0.03382423147559166,0.00990564376115799,0.03590616583824158,0.008374445140361786
50,0,LOS,sun4,0.08728571236133575,0.01171875,0.02274709939956665,0.0806402862071991,0.017227180302143097,0.0781203955411911,0.01804281584918499
50,0,LOS+Sun,sun4,0.08728134632110596,0.013671875,0.02174980193376541,0.08085789531469345,0.015256720595061779,0.07957597076892853,0.016638420522212982
50,0,LOS+rho,sun4,0.08420420438051224,0.001953125,0.021612178534269333,0.07770285755395889,0.015446274541318417,0.07649962604045868,0.016982436180114746
50,0,LOS+Sun+rho,sun4,0.08806973695755005,0.001953125,0.023208925500512123,0.08143441379070282,0.023402057588100433,0.07892080396413803,0.016108866780996323
50,0,3D,sun15,0.5341942310333252,0.318359375,0.22942480444908142,0.4318664073944092,0.29187244176864624,0.33015403151512146,0.14994749426841736
50,0,LOS,sun15,0.3319883942604065,0.138671875,0.19854766130447388,0.2210928499698639,0.1842154860496521,0.19000671803951263,0.10994906723499298
50,0,LOS+Sun,sun15,0.36938101053237915,0.154296875,0.2167672961950302,0.2487759292125702,0.19549660384655,0.21656253933906555,0.12197745591402054
50,0,LOS+rho,sun15,0.3597782254219055,0.033203125,0.2025374323129654,0.255658894777298,0.21097329258918762,0.19971933960914612,0.0993037149310112
50,0,LOS+Sun+rho,sun15,0.3447009027004242,0.029296875,0.18880853056907654,0.24706269800662994,0.1946384310722351,0.2029029279947281,0.09025765210390091
50,0,3D,gc15,0.46638989448547363,0.330078125,0.1604342758655548,0.4144056439399719,0.2360198050737381,0.30407267808914185,0.15202617645263672
50,0,LOS,gc15,0.2670593559741974,0.068359375,0.13405123353004456,0.20529353618621826,0.13174855709075928,0.16436758637428284,0.10917089879512787
50,0,LOS+Sun,gc15,0.30250340700149536,0.087890625,0.1582096964120865,0.2280186116695404,0.1463012397289276,0.18737545609474182,0.11727412045001984
50,0,LOS+rho,gc15,0.26993170380592346,0.0390625,0.12378828227519989,0.22060029208660126,0.14022600650787354,0.16059881448745728,0.09543342888355255
