n_samples,trial,setting,sigma_mmsyr,arm,mode,region,rel_err,rel_los,rel_trv,rel_R,rel_z,rel_phi,train_chi,train_err_true_mmsyr
50,0,s0,0.00,plain,LOS,sun4,0.08728571236133575,0.02274709939956665,0.0806402862071991,0.017227180302143097,0.0781203955411911,0.01804281584918499,nan,0.080
50,0,s0,0.00,plain,LOS,sun15,0.3319883942604065,0.19854766130447388,0.2210928499698639,0.1842154860496521,0.19000671803951263,0.10994906723499298,nan,0.080
50,0,s0,0.00,plain,LOS,gc15,0.2670593559741974,0.13405123353004456,0.20529353618621826,0.13174855709075928,0.16436758637428284,0.10917089879512787,nan,0.080
50,0,s0,0.00,plain,LOS+Sun+rho,sun4,0.08806973695755005,0.023208925500512123,0.08143441379070282,0.023402057588100433,0.07892080396413803,0.016108866780996323,nan,0.096
50,0,s0,0.00,plain,LOS+Sun+rho,sun15,0.3447009027004242,0.18880853056907654,0.24706269800662994,0.1946384310722351,0.2029029279947281,0.09025765210390091,nan,0.096
50,0,s0,0.00,plain,LOS+Sun+rho,gc15,0.25352245569229126,0.1084497720003128,0.21316111087799072,0.12350767850875854,0.1627679020166397,0.08382658660411835,nan,0.096
50,0,s0,0.00,plain,3D,sun4,0.040517836809158325,0.016331661492586136,0.03382423147559166,0.00990564376115799,0.03590616583824158,0.008374445140361786,nan,0.063
50,0,s0,0.00,plain,3D,sun15,0.5341942310333252,0.22942480444908142,0.4318664073944092,0.29187244176864624,0.33015403151512146,0.14994749426841736,nan,0.063
50,0,s0,0.00,plain,3D,gc15,0.46638989448547363,0.1604342758655548,0.4144056439399719,0.2360198050737381,0.30407267808914185,0.15202617645263672,nan,0.063
50,0,s0.5,0.50,plain,LOS,sun4,0.16020794212818146,0.05819270759820938,0.13848797976970673,0.049583204090595245,0.12971222400665283,0.0456230454146862,0.458,0.395
50,0,s0.5,0.50,plain,LOS,sun15,1.5122711658477783,0.7296890020370483,1.2023463249206543,0.6237115859985352,0.796320915222168,0.8410382270812988,0.458,0.395
50,0,s0.5,0.50,plain,LOS,gc15,1.422156810760498,0.6565774083137512,1.1494317054748535,0.5795201063156128,0.7504894137382507,0.7994921803474426,0.458,0.395
50,0,s0.5,0.50,plain,LOS+Sun+rho,sun4,0.1373136341571808,0.05176347494125366,0.11749597638845444,0.05007379502058029,0.10871272534132004,0.0321103036403656,0.546,0.353
50,0,s0.5,0.50,plain,LOS+Sun+rho,sun15,0.8860328197479248,0.5405806303024292,0.6031339168548584,0.502839982509613,0.42167800664901733,0.4119974374771118,0.546,0.353
50,0,s0.5,0.50,plain,LOS+Sun+rho,gc15,0.8313660025596619,0.5156505107879639,0.5501977801322937,0.4736558198928833,0.38153547048568726,0.4075838625431061,0.546,0.353
50,0,s1.7,1.70,plain,LOS,sun4,0.5760942101478577,0.2668408751487732,0.4674346446990967,0.2519947290420532,0.3513336777687073,0.2399492859840393,0.279,1.014
50,0,s1.7,1.70,plain,LOS,sun15,5.180517196655273,3.4990663528442383,3.14108943939209,2.74214768409729,2.5079259872436523,2.5746467113494873,0.279,1.014
50,0,s1.7,1.70,plain,LOS,gc15,6.0542073249816895,4.543895244598389,3.4102330207824707,3.7754812240600586,2.5515663623809814,2.7842538356781006,0.279,1.014
50,0,s1.7,1.70,plain,LOS+Sun+rho,sun4,0.5820075273513794,0.2480446696281433,0.4918937683105469,0.25655171275138855,0.38500693440437317,0.22722621262073517,0.211,1.056
50,0,s1.7,1.70,plain,LOS+Sun+rho,sun15,5.470126152038574,4.265148639678955,2.7083067893981934,2.9895384311676025,2.367457628250122,3.10373592376709,0.211,1.056
50,0,s1.7,1.70,plain,LOS+Sun+rho,gc15,7.329442977905273,6.475113868713379,2.8334574699401855,4.80698823928833,3.02104115486145,3.2593302726745605,0.211,1.056
50,0,s4.3,4.30,plain,LOS,sun4,1.6220189332962036,0.6579183340072632,1.4077341556549072,0.7745418548583984,0.7395259141921997,0.966218113899231,0.264,3.125
50,0,s4.3,4.30,plain,LOS,sun15,2.065539836883545,0.8695997595787048,1.7724089622497559,0.8349996209144592,1.0910160541534424,1.1635968685150146,0.264,3.125
50,0,s4.3,4.30,plain,LOS,gc15,1.8931849002838135,0.8965988755226135,1.5478594303131104,0.8627091646194458,0.9927542209625244,1.0043116807937622,0.264,3.125
50,0,s4.3,4.30,plain,LOS+Sun+rho,sun4,0.8244414329528809,0.383029580116272,0.6673382520675659,0.29104873538017273,0.5066812634468079,0.38574448227882385,0.342,2.728
50,0,s4.3,4.30,plain,LOS+Sun+rho,sun15,8.001690864562988,6.364130973815918,3.9445009231567383,4.104145050048828,4.152096271514893,3.9550981521606445,0.342,2.728
50,0,s4.3,4.30,plain,LOS+Sun+rho,gc15,10.621159553527832,9.633787155151367,3.3880484104156494,6.771259784698486,4.5853753089904785,4.550650596618652,0.342,2.728
50,0,het,1.46,plain,LOS,sun4,1.1703630685806274,0.4475325345993042,1.0162636041641235,0.535201370716095,0.8465293049812317,0.3620156943798065,0.307,1.365
50,0,het,1.46,plain,LOS,sun15,4.516302108764648,2.192302703857422,3.589069128036499,1.8495681285858154,2.590703010559082,2.3514084815979004,0.307,1.365
50,0,het,1.46,plain,LOS,gc15,4.431804656982422,2.3835816383361816,3.3216466903686523,1.9332044124603271,2.5481760501861572,2.1229190826416016,0.307,1.365
50,0,het,1.46,plain,LOS+Sun+rho,sun4,1.0270832777023315,0.40276890993118286,0.8840979933738708,0.42569294571876526,0.7532806396484375,0.2982504963874817,0.615,1.355
50,0,het,1.46,plain,LOS+Sun+rho,sun15,8.792190551757812,7.225749969482422,4.008484363555908,4.485768795013428,4.639277935028076,4.038628101348877,0.615,1.355
50,0,het,1.46,plain,LOS+Sun+rho,gc15,14.040779113769531,12.932962417602539,4.1252007484436035,9.146920204162598,6.161489486694336,5.831230163574219,0.615,1.355
50,0,hetW,1.46,W,LOS,sun4,0.3036210834980011,0.1419626772403717,0.24601541459560394,0.1605207473039627,0.16556799411773682,0.12837505340576172,0.381,0.890
50,0,hetW,1.46,W,LOS,sun15,2.776284694671631,1.0390193462371826,2.4220528602600098,1.1033344268798828,1.8496220111846924,1.0969436168670654,0.381,0.890
50,0,hetW,1.46,W,LOS,gc15,2.7089662551879883,1.2112383842468262,2.2186450958251953,1.2419981956481934,1.7099696397781372,1.0056006908416748,0.381,0.890
50,0,hetW,1.46,W,LOS+Sun+rho,sun4,0.28505489230155945,0.13771499693393707,0.2275378704071045,0.15615466237068176,0.16407182812690735,0.10803545266389847,0.446,0.867
50,0,hetW,1.46,W,LOS+Sun+rho,sun15,2.227452516555786,1.4741318225860596,1.4636528491973877,1.1620795726776123,1.051261305809021,1.1333609819412231,0.446,0.867
50,0,hetW,1.46,W,LOS+Sun+rho,gc15,2.730557441711426,2.083672523498535,1.396108627319336,1.6166678667068481,1.122705340385437,1.3696675300598145,0.446,0.867
50,0,hetC,1.46,C,LOS,sun4,0.37303152680397034,0.1880117803812027,0.2938380837440491,0.23089176416397095,0.19948112964630127,0.1314052790403366,0.349,0.982
50,0,hetC,1.46,C,LOS,sun15,3.403856039047241,1.491008996963501,2.855738878250122,1.6391115188598633,1.7736668586730957,1.720978856086731,0.349,0.982
50,0,hetC,1.46,C,LOS,gc15,3.429866313934326,1.6383497714996338,2.7731001377105713,1.7363746166229248,1.7561081647872925,1.6696133613586426,0.349,0.982
50,0,hetC,1.46,C,LOS+Sun+rho,sun4,0.18562617897987366,0.07415778934955597,0.15878666937351227,0.07432541996240616,0.10842078179121017,0.0976768434047699,0.863,0.446
50,0,hetC,1.46,C,LOS+Sun+rho,sun15,0.9161825776100159,0.6253165006637573,0.560444712638855,0.4937848150730133,0.39597487449645996,0.44570741057395935,0.863,0.446
50,0,hetC,1.46,C,LOS+Sun+rho,gc15,0.9606831073760986,0.7068703770637512,0.5235141515731812,0.5033634901046753,0.42392367124557495,0.5431159138679504,0.863,0.446
50,0,s1.7W,1.70,W,LOS,sun4,0.5760942101478577,0.2668408751487732,0.4674346446990967,0.2519947290420532,0.3513336777687073,0.2399492859840393,0.279,1.014
50,0,s1.7W,1.70,W,LOS,sun15,5.180517196655273,3.4990663528442383,3.14108943939209,2.74214768409729,2.5079259872436523,2.5746467113494873,0.279,1.014
50,0,s1.7W,1.70,W,LOS,gc15,6.0542073249816895,4.543895244598389,3.4102330207824707,3.7754812240600586,2.5515663623809814,2.7842538356781006,0.279,1.014
50,0,s1.7W,1.70,W,LOS+Sun+rho,sun4,0.5820075273513794,0.2480446696281433,0.4918937683105469,0.25655171275138855,0.38500693440437317,0.22722621262073517,0.211,1.056
50,0,s1.7W,1.70,W,LOS+Sun+rho,sun15,5.470126152038574,4.265148639678955,2.7083067893981934,2.9895384311676025,2.367457628250122,3.10373592376709,0.211,1.056
50,0,s1.7W,1.70,W,LOS+Sun+rho,gc15,7.329442977905273,6.475113868713379,2.8334574699401855,4.80698823928833,3.02104115486145,3.2593302726745605,0.211,1.056
50,0,s1.7C,1.70,C,LOS,sun4,0.7108872532844543,0.36732321977615356,0.5494817495346069,0.30876412987709045,0.37155383825302124,0.3710766136646271,0.094,1.116
50,0,s1.7C,1.70,C,LOS,sun15,4.118038654327393,2.082818031311035,3.2494454383850098,1.5888696908950806,2.527731418609619,2.0328779220581055,0.094,1.116
50,0,s1.7C,1.70,C,LOS,gc15,4.167821407318115,2.2904183864593506,3.181286573410034,1.7087370157241821,2.744055986404419,1.764658808708191,0.094,1.116
50,0,s1.7C,1.70,C,LOS+Sun+rho,sun4,0.6414786577224731,0.33353886008262634,0.49981820583343506,0.28355252742767334,0.35893213748931885,0.3321424126625061,0.169,1.116
50,0,s1.7C,1.70,C,LOS+Sun+rho,sun15,6.8025641441345215,5.56923770904541,3.162095785140991,3.306910514831543,2.961728096008301,4.007668972015381,0.169,1.116
50,0,s1.7C,1.70,C,LOS+Sun+rho,gc15,8.753665924072266,8.036664962768555,2.622976779937744,5.283442974090576,3.51031494140625,4.189472675323486,0.169,1.116
50,1,s0,0.00,plain,LOS,sun4,0.08235543221235275,0.025432664901018143,0.07297457009553909,0.02460794895887375,0.0726507306098938,0.012117949314415455,nan,0.074
50,1,s0,0.00,plain,LOS,sun15,0.49472182989120483,0.21405518054962158,0.387775182723999,0.22765865921974182,0.3221589922904968,0.1474304497241974,nan,0.074
50,1,s0,0.00,plain,LOS,gc15,0.4571138918399811,0.18172043561935425,0.3785463869571686,0.2027045041322708,0.30093514919281006,0.15303584933280945,nan,0.074
